id;set;series;publisher;generation;release_date;name;set_num;rarity;nationalPokedexNumbers
base1-1;Base;Base;WOTC;First;1/9/1999;Alakazam;1;Rare Holo;[65]
base1-2;Base;Base;WOTC;First;1/9/1999;Blastoise;2;Rare Holo;[9]
base1-3;Base;Base;WOTC;First;1/9/1999;Chansey;3;Rare Holo;[113]
base1-4;Base;Base;WOTC;First;1/9/1999;Charizard;4;Rare Holo;[6]
base1-5;Base;Base;WOTC;First;1/9/1999;Clefairy;5;Rare Holo;[35]
base1-6;Base;Base;WOTC;First;1/9/1999;Gyarados;6;Rare Holo;[130]
base1-7;Base;Base;WOTC;First;1/9/1999;Hitmonchan;7;Rare Holo;[107]
base1-8;Base;Base;WOTC;First;1/9/1999;Machamp;8;Rare Holo;[68]
base1-9;Base;Base;WOTC;First;1/9/1999;Magneton;9;Rare Holo;[82]
base1-10;Base;Base;WOTC;First;1/9/1999;Mewtwo;10;Rare Holo;[150]
base1-11;Base;Base;WOTC;First;1/9/1999;Nidoking;11;Rare Holo;[34]
base1-12;Base;Base;WOTC;First;1/9/1999;Ninetales;12;Rare Holo;[38]
base1-13;Base;Base;WOTC;First;1/9/1999;Poliwrath;13;Rare Holo;[62]
base1-14;Base;Base;WOTC;First;1/9/1999;Raichu;14;Rare Holo;[26]
base1-15;Base;Base;WOTC;First;1/9/1999;Venusaur;15;Rare Holo;[3]
base1-16;Base;Base;WOTC;First;1/9/1999;Zapdos;16;Rare Holo;[145]
base1-17;Base;Base;WOTC;First;1/9/1999;Beedrill;17;Rare;[15]
base1-18;Base;Base;WOTC;First;1/9/1999;Dragonair;18;Rare;[148]
base1-19;Base;Base;WOTC;First;1/9/1999;Dugtrio;19;Rare;[51]
base1-20;Base;Base;WOTC;First;1/9/1999;Electabuzz;20;Rare;[125]
base1-21;Base;Base;WOTC;First;1/9/1999;Electrode;21;Rare;[101]
base1-22;Base;Base;WOTC;First;1/9/1999;Pidgeotto;22;Rare;[17]
base1-23;Base;Base;WOTC;First;1/9/1999;Arcanine;23;Uncommon;[59]
base1-24;Base;Base;WOTC;First;1/9/1999;Charmeleon;24;Uncommon;[5]
base1-25;Base;Base;WOTC;First;1/9/1999;Dewgong;25;Uncommon;[87]
base1-26;Base;Base;WOTC;First;1/9/1999;Dratini;26;Uncommon;[147]
base1-27;Base;Base;WOTC;First;1/9/1999;Farfetch'd;27;Uncommon;[83]
base1-28;Base;Base;WOTC;First;1/9/1999;Growlithe;28;Uncommon;[58]
base1-29;Base;Base;WOTC;First;1/9/1999;Haunter;29;Uncommon;[93]
base1-30;Base;Base;WOTC;First;1/9/1999;Ivysaur;30;Uncommon;[2]
base1-31;Base;Base;WOTC;First;1/9/1999;Jynx;31;Uncommon;[124]
base1-32;Base;Base;WOTC;First;1/9/1999;Kadabra;32;Uncommon;[64]
